Год,Добыча полезных ископаемых,Строительство,Образование,Здравоохранение и предоставление социальных услуг
2000,5940,2640,1240,1333
2001,9099,3859,1833,1960
2002,11081,4807,2927,3141
2003,13912,6177,3387,3663
2004,16842,7305,4203,4612
2005,19727,9043,5430,5906
2006,23145,10869,6983,8060
2007,28108,14333,8778,10037
2008,33206,18574,11317,13049
2009,35363,18122,13294,14820
2010,39895,21172,14075,15724
2011,45132,23682,15809,17545
2012,50401,25951,18995,20641
2013,54161,27701,23458,24439
2014,58959,29354,25862,27068
2015,63695,29960,26928,28179
2016,69936,32332,28088,29742
2017,74474,33678,30258,31980
2018,83178,38518,34361,40027
2019,89344,42630,37072,43122
2020,95359,44738,39563,49532
2021,103474,51944,43391,50690
2022,118376,60850,48400,55420
2023,130826,68944,54263,61486
